"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User enter invalid credentials and system display error message","231","Login failure","tests","Thu May 07 11:05:50 UTC 2026","passed","Thu May 07 11:05:50 UTC 2026","","test_login","",""
"User enter valid credentials and system display welcome message","266","Login success","tests","Thu May 07 11:05:50 UTC 2026","passed","Thu May 07 11:05:50 UTC 2026","","test_login","",""
"User enter valid credentials and system display welcome message","192","Login success","tests","Thu May 07 11:05:50 UTC 2026","passed","Thu May 07 11:05:50 UTC 2026","","test_login","",""
