"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User enter invalid credentials and system display error message","188","Login failure","tests","Thu May 07 14:03:39 UTC 2026","passed","Thu May 07 14:03:40 UTC 2026","","test_login","",""
"User enter valid credentials and system display welcome message","295","Login success","tests","Thu May 07 14:03:40 UTC 2026","passed","Thu May 07 14:03:40 UTC 2026","","test_login","",""
"User enter valid credentials and system display welcome message","215","Login success","tests","Thu May 07 14:03:40 UTC 2026","passed","Thu May 07 14:03:40 UTC 2026","","test_login","",""
